trigger: TY did not set score to 2% for TY Sept 02   KPI spec.ipynb, desc: Please set Actual score to 2% for task TY Sept 02   KPI spec.ipynb in KPI spec.ipynb so SW can review it, response: Please set Actual score to 2% for task TY Sept 02   KPI spec.ipynb in KPI spec.ipynb so SW can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 22d
trigger: Info KPI spec.ipynb Status SW missed to score KPI for TY, desc: SW missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: SW missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 22d
trigger: SL did not set score to 2% for SL Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, response: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 22d
trigger: MM did not set score to 2% for MM Sept 02   KPI Spec, desc: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, response: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 22d
trigger: ST did not set score to 2% for ST Sept 02   KPI Spec, desc: Please set Actual score to 2% for task ST Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, response: Please set Actual score to 2% for task ST Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 22d
trigger: WY did not set score to 2% for WY Sept 02   KPI Spec, desc: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, response: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 22d
trigger: SW did not set score to 2% for SW Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SW Sept 02   KPI Spec in 2 spec.ipynb so SL can review it, response: Please set Actual score to 2% for task SW Sept 02   KPI Spec in 2 spec.ipynb so SL can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 22d
trigger: TY did not set score to 2% for TY Sept 02   KPI spec.ipynb, desc: Please set Actual score to 2% for task TY Sept 02   KPI spec.ipynb in KPI spec.ipynb so SL can review it, response: Please set Actual score to 2% for task TY Sept 02   KPI spec.ipynb in KPI spec.ipynb so SL can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 22d
trigger: Info KPI spec.ipynb Status SL missed to score KPI for TY, desc: SL missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: SL missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 22d
trigger: MM did not set score to 2% for MM Sept 02   KPI Spec, desc: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, response: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 22d
trigger: ST did not set score to 2% for ST Sept 02   KPI Spec, desc: Please set Actual score to 2% for task ST Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, response: Please set Actual score to 2% for task ST Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 22d
trigger: WY did not set score to 2% for WY Sept 02   KPI Spec, desc: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, response: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 22d
trigger: SW did not set score to 2% for SW Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SW Sept 02   KPI Spec in 2 spec.ipynb so ST can review it, response: Please set Actual score to 2% for task SW Sept 02   KPI Spec in 2 spec.ipynb so ST can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 22d
trigger: TY did not set score to 2% for TY Sept 02   KPI spec.ipynb, desc: Please set Actual score to 2% for task TY Sept 02   KPI spec.ipynb in KPI spec.ipynb so ST can review it, response: Please set Actual score to 2% for task TY Sept 02   KPI spec.ipynb in KPI spec.ipynb so ST can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 22d
trigger: Info KPI spec.ipynb Status ST missed to score KPI for TY, desc: ST missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: ST missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 22d
trigger: SL did not set score to 2% for SL Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, response: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 22d
trigger: MM did not set score to 2% for MM Sept 02   KPI Spec, desc: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, response: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 22d
trigger: WY did not set score to 2% for WY Sept 02   KPI Spec, desc: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, response: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 22d
trigger: SW did not set score to 2% for SW Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SW Sept 02   KPI Spec in 2 spec.ipynb so WY can review it, response: Please set Actual score to 2% for task SW Sept 02   KPI Spec in 2 spec.ipynb so WY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 22d
trigger: TY did not set score to 2% for TY Sept 02   KPI spec.ipynb, desc: Please set Actual score to 2% for task TY Sept 02   KPI spec.ipynb in KPI spec.ipynb so WY can review it, response: Please set Actual score to 2% for task TY Sept 02   KPI spec.ipynb in KPI spec.ipynb so WY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 22d
trigger: Info KPI spec.ipynb Status WY missed to score KPI for TY, desc: WY missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: WY missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 22d
